,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,-0.0069444444444444,0.1071428571428571,0.0681818181818181,0.0128205128205128,-0.0606060606060606,0.0357142857142857,-0.0833333333333333,0.0121951219512195,0.0694444444444444,0.0833333333333333,0.05397162119723092,0.1458333333333333,0.1071428571428571,0.0984848484848484,0.1153846153846153,0.1969696969696969,0.15,0.1742424242424242,0.0609756097560975,0.1527777777777778,0.1388888888888889,0.13407000519805395,0.0,0.044259920244861216,0.0998185117967331,0.83
Atheist,0.0416666666666666,0.0727272727272727,0.0378787878787878,-0.0192307692307692,-0.0075757575757575,0.0,-0.0303030303030303,0.0060975609756097,0.0833333333333333,0.0277777777777777,0.03265909564690048,0.3611111111111111,0.1818181818181818,0.1287878787878787,0.1474358974358974,0.2651515151515151,0.2877697841726618,0.2575757575757575,0.1158536585365853,0.1666666666666666,0.2222222222222222,0.21343926734784774,0.03626979050759538,0.0,0.0856031128404668,0.5383333333333333
Buddhist,-0.0416666666666666,-0.0892857142857142,0.0303030303030303,0.0384615384615384,0.0606060606060606,0.0,-0.0151515151515151,0.048780487804878,0.0833333333333333,0.1111111111111111,0.05186994577238476,0.1944444444444444,0.1607142857142857,0.1515151515151515,0.2051282051282051,0.1515151515151515,0.1857142857142857,0.1969696969696969,0.1585365853658536,0.1666666666666666,0.1111111111111111,0.16823155841448517,0.05980308647991571,0.0,0.0738636363636364,0.7183333333333334
Catholic,0.0208333333333333,0.0178571428571428,0.0909090909090909,0.0705128205128205,0.0075757575757575,-0.0428571428571428,-0.0833333333333333,-0.0060975609756097,0.0416666666666666,0.0416666666666666,0.0423309515687564,0.2847222222222222,0.125,0.2121212121212121,0.2115384615384615,0.2954545454545454,0.2857142857142857,0.2348484848484848,0.2621951219512195,0.2361111111111111,0.2916666666666667,0.2439372111628209,0.04319734466075928,0.0,0.0766488413547237,0.2666666666666666
Christian,0.0,0.0178571428571428,0.0151515151515151,0.0897435897435897,0.0227272727272727,0.0142857142857142,-0.0227272727272727,-0.0304878048780487,0.0138888888888888,0.1944444444444444,0.042131364570388914,0.2083333333333333,0.1607142857142857,0.106060606060606,0.1794871794871795,0.3257575757575757,0.2285714285714285,0.2803030303030303,0.1890243902439024,0.2083333333333333,0.2222222222222222,0.21088073850268968,0.060090109754743895,0.0,0.0944741532976827,0.3433333333333333
Hindu,0.0208333333333333,0.0892857142857142,0.0305343511450381,0.0584415584415584,0.0227272727272727,-0.0357142857142857,-0.0075757575757575,-0.0122699386503067,-0.0138888888888888,0.0694444444444444,0.03607155452065998,0.2291666666666666,0.2321428571428571,0.1221374045801526,0.1883116883116883,0.3560606060606061,0.3357142857142857,0.1893939393939394,0.1963190184049079,0.1527777777777778,0.2361111111111111,0.22381353551639926,0.0481110196635975,0.0,0.1079136690647482,0.2933333333333333
Jewish,0.0,0.0892857142857142,0.0606060606060606,0.0128205128205128,-0.053030303030303,0.0285714285714285,0.0229007633587786,-0.0674846625766871,0.0,0.0972222222222222,0.043192166747170704,0.2222222222222222,0.1964285714285714,0.1969696969696969,0.141025641025641,0.3257575757575757,0.4,0.3435114503816794,0.2147239263803681,0.2222222222222222,0.1527777777777778,0.2415639084165755,0.03163431741493114,0.0,0.0666666666666666,0.275
Mormon,0.0625,0.0714285714285714,-0.0227272727272727,-0.0192307692307692,-0.0833333333333333,0.0,0.0227272727272727,0.0,0.0416666666666666,0.0833333333333333,0.040694721944721915,0.2430555555555555,0.1785714285714285,0.2045454545454545,0.173076923076923,0.3106060606060606,0.2714285714285714,0.3712121212121212,0.2804878048780488,0.1805555555555555,0.1944444444444444,0.2407983919874163,0.04325941673502646,0.0,0.1261770244821092,0.4033333333333333
Muslim,0.0694444444444444,0.0535714285714285,0.106060606060606,0.0064516129032258,-0.1515151515151515,-0.0071428571428571,0.0075757575757575,0.0858895705521472,-0.0138888888888888,0.0,0.05015403176545068,0.2361111111111111,0.1964285714285714,0.1666666666666666,0.1483870967741935,0.303030303030303,0.2357142857142857,0.3409090909090909,0.2453987730061349,0.2083333333333333,0.2222222222222222,0.23032014541959128,0.0639244445199311,0.0,0.0512820512820513,0.2983333333333333
Protestant,-0.0069444444444444,0.1071428571428571,0.0454545454545454,0.032051282051282,-0.0909090909090909,0.0,-0.0909090909090909,0.024390243902439,0.0833333333333333,0.0833333333333333,0.05644682214804163,0.2430555555555555,0.2142857142857142,0.1818181818181818,0.173076923076923,0.2424242424242424,0.2857142857142857,0.2727272727272727,0.1951219512195122,0.3333333333333333,0.1944444444444444,0.2336001904599465,0.014163512639122388,0.0,0.09347442680776,0.275
Sikh,-0.0347222222222222,0.0,0.0303030303030303,-0.0128205128205128,-0.0757575757575757,0.0428571428571428,-0.0303030303030303,0.048780487804878,0.0416666666666666,0.1666666666666666,0.04838773354017254,0.2291666666666666,0.1785714285714285,0.1363636363636363,0.1666666666666666,0.3484848484848485,0.2714285714285714,0.3333333333333333,0.3048780487804878,0.2361111111111111,0.25,0.245500431140675,0.04214616007298931,0.0,0.1062271062271063,0.3366666666666666
Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,0.1123188405797102,0.3633333333333333
