,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,3.6890567819618043e-07,0.0012690355329949,0.0002906976744186,0.0441860465116279,0.916279069767442,0.9997093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009578544061302,0.0,-0.001937984496124,0.0028958389022541997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009578544061302,0.0,0.001937984496124,0.0028958389022541997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African,-4.204884393711757e-06,-0.0028929604628736,-0.0008720930232558,0.0302325581395349,0.9040697674418604,0.998546511627907,-4.573790071907937e-06,-0.0041619959958685004,0.0,0.0,0.0023148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034013605442176,0.0,-0.0028735632183908,0.0,0.003875968992248,0.012465707569671199,0.015361546471925398,0.009569868667416999,0.0,0.0,0.0023148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0028735632183908,0.0,0.003875968992248,0.012465707569671199,0.009569868667416999,0.009569868667416999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,-0.0019157088122605,0.0,0.0,0.0027660489483149002,0.0027660489483149002,0.0027660489483149002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0019157088122605,0.0,0.0,0.0027660489483149002,0.0027660489483149002,0.0027660489483149002
African American,0.0,0.0019280205655527,0.0,0.0319767441860464,0.9037790697674418,1.0,-3.6890567819618043e-07,0.0006589850325578002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028958389022541997,-0.0028958389022541997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028958389022541997,-0.0028958389022541997,0.0,0.0,-0.0011574074074074,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0238095238095238,0.0,0.0,0.0,0.0284768458210707,0.0284768458210707,0.0284768458210707,0.0,0.0,0.0011574074074074,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0025510204081632,0.0238095238095238,0.0,0.0,0.0,0.030177526093179502,0.030177526093179502,0.030177526093179502
Black,-2.4153765714155616e-05,-0.0048875855327468,0.0002906976744186,0.0319767441860465,0.8915697674418605,0.9950581395348838,-2.4522671392351796e-05,-0.0061566210657416996,0.0,0.0,0.0005787037037037,0.0,0.0013297872340425,0.0,0.0,0.0,0.0,0.0,-0.0017006802721088,0.0,0.0057471264367816,0.0,-0.000968992248062,0.0103252898946986,0.0093674354885684,0.0074294509924444,0.0,0.0,0.0167824074074074,0.0,0.0039893617021276,0.0,0.0,0.0,0.0,0.0,0.0034013605442176,0.0,0.0095785440613026,0.0,0.00484496124031,0.0385966349553652,0.035700796053111,0.035700796053111,0.0,0.0,0.0,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,-0.0025510204081632,0.0,0.0009578544061302,0.0,0.0,0.0061684492823785,0.0061684492823785,0.0061684492823785,0.0,0.0,0.0,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0009578544061302,0.0,0.0,0.0061684492823785,0.0061684492823785,0.0061684492823785
Caucasian,-9.40769172875662e-07,-0.0032362459546925,-0.0002906976744186,0.0372093023255813,0.8976744186046511,0.9997093023255814,-1.3096748510718424e-06,-0.0045052814876874,0.0,0.0,0.0005787037037037,0.0,-0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032382781717888,0.006134117074043,0.0003424392695346003,0.0,0.0,0.0005787037037037,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032382781717888,0.006134117074043,0.0003424392695346003,0.0,0.0,-0.0005787037037037,0.0,-0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002906976744186,0.0061452549159748005,0.0061452549159748005,0.0061452549159748005,0.0,0.0,0.0005787037037037,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002906976744186,0.0061452549159748005,0.0061452549159748005,0.0061452549159748005
White,-2.82322118244028e-06,-0.0016186468112657,0.0,0.0424418604651163,0.8979651162790697,0.9982558139534884,-3.1921268606364605e-06,-0.0028876823442606,0.0,0.0,0.0005787037037037,0.0,0.0013297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009578544061302,0.0,-0.000968992248062,0.0038353375919383996,0.0028774831858082,0.0009394986896841999,0.0,0.0,0.0063657407407407,0.0,0.0013297872340425,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0028735632183908,0.0,0.000968992248062,0.013238763713344799,0.012280909307214599,0.010342924811090599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European,-0.0,-0.0003218538783392,0.0,0.0308139534883721,0.9026162790697676,1.0,-3.6890567819618043e-07,-0.0015908894113340999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028958389022541997,-0.0028958389022541997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028958389022541997,-0.0028958389022541997,0.02,0.0,-0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,-0.000968992248062,0.0232483762238745,0.0232483762238745,0.0232483762238745,0.02,0.0,0.0005787037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.000968992248062,0.0232483762238745,0.0232483762238745,0.0232483762238745
Roma,9.76744186046522e-06,0.00224,0.0008720930232558,0.0261627906976744,0.9078488372093024,0.9956395348837208,9.39853618226904e-06,0.0009709644670050999,0.0,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0121951219512195,0.0,0.0,0.0009578544061302,0.0,0.0,0.0143103837647571,0.0152905138547509,0.011414544862502901,0.0,0.0,0.011574074074074,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0121951219512195,0.0051020408163265,0.0,0.0105363984674329,0.0,0.003875968992248,0.045943178769386,0.0430473398671318,0.0430473398671318,0.0,0.0,0.0005787037037037,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002906976744186,0.0061452549159748005,0.0061452549159748005,0.0061452549159748005,0.0,0.0,0.0005787037037037,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002906976744186,0.0061452549159748005,0.0061452549159748005,0.0061452549159748005
Native American,-8.006099885627074e-06,-0.0045901639344262,-0.0008720930232558,0.0401162790697674,0.8857558139534883,0.9982558139534884,-8.375005563823254e-06,-0.0058591994674211,-0.01,0.0,0.0023148148148148,0.0,-0.0026595744680851,0.0,0.0,0.0166666666666666,0.0,0.0,0.0017006802721088,0.0,-0.0028735632183908,0.0,-0.000968992248062,0.0371842916881281,0.0381421460942583,0.0342884527858739,0.01,0.0,0.0023148148148148,0.0,0.0026595744680851,0.0,0.0,0.0166666666666666,0.0,0.0,0.0017006802721088,0.0,0.0028735632183908,0.0,0.000968992248062,0.0371842916881281,0.0362264372819979,0.0342884527858739,0.0,0.0,0.0017361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017006802721088,0.0,0.0,0.0,0.0,0.0034367913832199,0.0034367913832199,0.0034367913832199,0.0,0.0,0.0017361111111111,0.0,0.0053191489361702,0.0,0.0,0.0,0.0,0.0,0.0017006802721088,0.0,0.0,0.0,0.0,0.0087559403193901,0.0087559403193901,0.0087559403193901
South American,2.2347034548517048e-06,0.0019218449711724,0.0,0.0308139534883721,0.9072674418604652,0.9988372093023256,1.8657977766555243e-06,0.0006528094381775,0.0,0.0,-0.0023148148148148,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0008503401360544,0.0,0.0019157088122605,0.0,-0.000968992248062,0.0087094304792768,0.0077515760731465995,0.0058135915770226,0.0,0.0,0.0023148148148148,0.0,0.0026595744680851,0.0,0.0,0.0,0.0,0.0,0.0025510204081632,0.0,0.0019157088122605,0.0,0.000968992248062,0.0104101107513856,0.0094522563452554,0.0075142718491314,0.0,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009578544061302,0.0,0.0,0.0021152618135376,0.0021152618135376,0.0021152618135376,0.0,0.0,0.0011574074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009578544061302,0.0,0.0,0.0021152618135376,0.0021152618135376,0.0021152618135376
