,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.023018648018648,-0.0303030303030303,0.02666083916083915,0.0492424242424242,0.0495337995337995,0.049388111888111846,0.0,0.00646459204232083,0.0703637447823495,0.6925990675990676
bartender,0.0192363742349169,-0.029728941999417,0.024482658117166947,0.0582920431361119,0.0571262022733896,0.057709122704750745,0.002178181043672201,0.0,0.0634117296814529,0.4778554778554778
cashier,0.0236013986013986,-0.0314685314685314,0.027534965034965,0.0562354312354312,0.0582750582750582,0.0572552447552447,0.0008741258741258515,0.0,0.063298662704309,0.3554778554778555
chemical engineer,0.0273892773892773,-0.0399184149184149,0.033653846153846104,0.099067599067599,0.0818764568764568,0.0904720279720279,0.0069930069930069505,0.0,0.0842490842490841,0.6156759906759907
chemist,0.0259324009324009,-0.0431235431235431,0.034527972027972004,0.0929487179487179,0.0792540792540792,0.08610139860139854,0.00786713286713285,0.0,0.0822536908707443,0.5209790209790209
construction worker,0.0326340326340326,-0.0425407925407925,0.03758741258741255,0.0687645687645687,0.0833333333333333,0.076048951048951,0.0109265734265734,0.0,0.076603325415677,0.2284382284382284
dentist,0.0288461538461538,-0.0384615384615384,0.033653846153846104,0.0842074592074592,0.0722610722610722,0.0782342657342657,0.0069930069930069505,0.0,0.0838905775075988,0.6002331002331003
farm worker,0.0335081585081585,-0.0469114219114219,0.040209790209790194,0.0777972027972028,0.0987762237762237,0.08828671328671325,0.013548951048951048,0.0,0.0815476190476189,0.3141025641025641
janitor,0.0413752913752913,-0.046037296037296,0.04370629370629365,0.0705128205128205,0.0798368298368298,0.07517482517482516,0.0170454545454545,0.0,0.0857484314311323,0.3263403263403263
judge,0.0099067599067599,-0.0241841491841491,0.0170454545454545,0.0839160839160839,0.0725524475524475,0.0782342657342657,0.00961538461538465,0.0,0.0576395242451968,0.6331585081585082
lawyer,0.0174825174825174,-0.0279720279720279,0.02272727272727265,0.0938228438228438,0.0792540792540792,0.0865384615384615,0.0039335664335665,0.0,0.0854563044179297,0.7368881118881119
line cook,0.0355477855477855,-0.043997668997669,0.03977272727272725,0.0705128205128205,0.0772144522144522,0.07386363636363635,0.013111888111888102,0.0,0.0809523809523808,0.4493006993006993
optometrist,0.0273892773892773,-0.039044289044289,0.03321678321678315,0.0763403263403263,0.0722610722610722,0.07430069930069924,0.0065559440559440005,0.0,0.0782396088019559,0.6095571095571095
parking attendant,0.025058275058275,-0.030011655011655,0.027534965034965,0.0635198135198135,0.0527389277389277,0.058129370629370604,0.0011655011655011503,0.0,0.0676241771394374,0.4854312354312354
pharmacist,0.0209790209790209,-0.0297202797202797,0.0253496503496503,0.0815850815850815,0.067016317016317,0.07430069930069924,0.00131118881118885,0.0,0.0731117824773412,0.5775058275058275
physician,0.0215617715617715,-0.0308857808857808,0.02622377622377615,0.0967365967365967,0.0780885780885781,0.0874125874125874,0.0010198135198134992,0.0,0.0698663426488457,0.5993589743589743
physics teacher,0.0294289044289044,-0.0405011655011655,0.03496503496503495,0.1098484848484848,0.0912004662004662,0.10052447552447549,0.008304195804195799,0.0,0.0895705521472391,0.6113053613053613
professor,0.0148601398601398,-0.0305944055944055,0.022727272727272648,0.0929487179487179,0.0766317016317016,0.08479020979020975,0.004224941724941699,0.0,0.0643203883495144,0.5046620046620046
psychologist,0.0259324009324009,-0.0352564102564102,0.03059440559440555,0.0912004662004662,0.0766317016317016,0.0839160839160839,0.003933566433566401,0.0,0.0864357397215926,0.7832167832167832
receptionist,0.0186480186480186,-0.025058275058275,0.0218531468531468,0.0635198135198135,0.0606060606060606,0.06206293706293706,0.00480769230769235,0.0,0.0565590761030501,0.4379370629370629
sales clerk,0.0256410256410256,-0.0329254079254079,0.02928321678321675,0.0751748251748251,0.0655594405594405,0.07036713286713281,0.0026223776223775995,0.0,0.0673822301729278,0.5288461538461539
scientist,0.0189393939393939,-0.0335081585081585,0.026223776223776196,0.0888694638694638,0.0754662004662004,0.0821678321678321,0.003642191142191149,0.0,0.0759219088937093,0.6972610722610723
server,0.018065268065268,-0.0256410256410256,0.0218531468531468,0.0559440559440559,0.0559440559440559,0.0559440559440559,0.00480769230769235,0.0,0.0607701564380265,0.5716783216783217
taxi driver,0.0308857808857808,-0.0399184149184149,0.03540209790209785,0.06002331002331,0.0719696969696969,0.06599650349650346,0.0087412587412587,0.0,0.0761876307140723,0.2631118881118881
truck driver,0.0297202797202797,-0.0454545454545454,0.03758741258741255,0.0804195804195804,0.1031468531468531,0.09178321678321674,0.0109265734265734,0.0,0.0749477455957001,0.2363053613053613
