,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Atheist_ambig,Christian_ambig,Protestant_ambig,Catholic_ambig,Mormon_ambig,Jewish_ambig,Muslim_ambig,Sikh_ambig,Hindu_ambig,Buddhist_ambig,TB_ambig,PB_ambig,Atheist_disambig,Christian_disambig,Protestant_disambig,Catholic_disambig,Mormon_disambig,Jewish_disambig,Muslim_disambig,Sikh_disambig,Hindu_disambig,Buddhist_disambig,TB_disambig,PB_disambig
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.7933333333333333,0.9433333333333334,0.0486111111111111,0.0,0.0694444444444444,0.053030303030303,-0.0151515151515151,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0178571428571428,0.45611647837257563,0.0,0.0138888888888888,0.0064102564102564,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0833333333333333,0.0178571428571428,0.1818457964799424,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.685,0.94,0.0555555555555555,0.0,0.0833333333333333,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.024390243902439,0.0,-0.2196969696969697,0.0357142857142857,0.5297293492415441,0.0887643860204837,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.1569470840812301,0.038787601287601295
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.7316666666666667,0.9333333333333332,0.0555555555555555,0.0128205128205128,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.2196969696969697,0.0357142857142857,0.5377149273490734,0.08159844897649779,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0121951219512195,0.0,-0.0833333333333333,0.0,0.1731438953999927,0.052028019406068104
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.72,0.9283333333333332,0.0555555555555555,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.1969696969696969,0.0357142857142857,0.5451935598277058,0.08907708145513021,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,-0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.1727299123640582,0.054570429570429395
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.7016666666666667,0.9333333333333332,0.0555555555555555,0.0064102564102564,0.0694444444444444,0.053030303030303,-0.0378787878787878,0.0428571428571428,0.0060975609756097,0.0,-0.1893939393939394,0.0357142857142857,0.4963822762603247,0.06761243499048371,0.0138888888888888,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.1722970119311579,0.0389860139860139
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.69,0.93,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.0378787878787878,0.0227272727272727,0.0428571428571428,0.0060975609756097,0.0,-0.2348484848484848,0.0357142857142857,0.5184782358562843,0.1351629400409889,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0606060606060606,0.0,0.12096223559638161,0.060883560883560804
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.685,0.9366666666666666,0.0555555555555555,0.0,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0357142857142857,0.49606958082567815,0.0399531024531025,0.0138888888888888,0.0,0.0277777777777777,-0.0151515151515151,0.0,0.0285714285714285,0.0121951219512195,0.0,-0.0606060606060606,0.0,0.1581907929468902,0.082529462407511
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.6866666666666666,0.9316666666666666,0.0625,0.0064102564102564,0.0694444444444444,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.0121951219512195,0.0,-0.2121212121212121,0.0357142857142857,0.5094242816803791,0.0684593184593186,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0909090909090909,0.0178571428571428,0.1970985992327453,0.0280733155733157
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.6733333333333333,0.9316666666666666,0.0555555555555555,0.0,0.0833333333333333,0.0606060606060606,-0.0454545454545454,0.0428571428571428,0.0182926829268292,0.0138888888888888,-0.2121212121212121,0.0357142857142857,0.5678237074578534,0.1117072290852778,0.0208333333333333,0.0,0.0277777777777777,-0.0075757575757575,-0.0075757575757575,0.0214285714285714,0.0182926829268292,0.0138888888888888,-0.0833333333333333,0.0178571428571428,0.2185632456973915,0.0495379620379619
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.6783333333333333,0.935,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1818181818181818,0.0357142857142857,0.5170000392561366,0.0911865911865912,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.1716656987998449,0.0383547008547009
