,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Orthodox_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Orthodox_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.0938739006946511,0.027743569385404,0.0633333333333332,0.0719999999999999,0.7046666666666667,0.8416666666666666,0.0347222222222221,0.0857142857142856,0.0378787878787878,0.0576923076923076,-0.1136363636363635,0.0257142857142856,0.0196969696969697,0.0451219512195121,,0.0472222222222221,0.1361111111111111,0.6035105071080672,0.0,0.0124999999999999,0.0214285714285714,0.0212121212121211,0.0089743589743589,-0.0242424242424241,0.0199999999999999,-0.009090909090909,0.0048780487804878,,0.0277777777777777,0.0388888888888888,0.1889931003955386,0.0
Atheist,0.0967907297995578,0.0189234200345894,0.0179999999999999,0.0559999999999999,0.7926666666666666,0.5863333333333334,0.0569444444444443,0.0392857142857142,0.0045454545454545,0.0089743589743589,-0.0696969696969696,0.0085714285714285,-0.0363636363636363,0.0292682926829267,,0.0333333333333332,0.0555555555555554,0.34253918845382164,0.3781430358259626,0.0416666666666666,0.0178571428571428,0.0242424242424242,0.0128205128205128,-0.0121212121212121,0.0228571428571427,-0.0075757575757575,0.0170731707317072,,0.0222222222222221,0.0277777777777777,0.20621402987256574,0.0849698472259447
Buddhist,0.124672320518179,0.0223540092552325,-0.1219999999999999,0.0633333333333332,0.812,0.5543333333333333,0.0319444444444444,0.2607142857142857,0.0530303030303029,0.0243589743589743,-0.0484848484848484,0.0157142857142856,-0.0121212121212121,0.0341463414634145,,0.0388888888888888,0.0805555555555554,0.5999591397762121,0.40809682187730967,0.011111111111111,0.0321428571428571,0.0227272727272727,0.0115384615384615,-0.003030303030303,0.0242857142857142,-0.0181818181818181,0.0121951219512195,,0.0305555555555555,0.0416666666666666,0.20743488219097922,0.06364380199746059
Catholic,0.0894847115559809,0.0424038612592761,-0.0366666666666666,0.0459999999999999,0.52,0.7323333333333334,2.0643209364124005e-17,0.0714285714285713,0.2636363636363636,0.1192307692307691,-0.0863636363636363,0.0714285714285714,0.0287878787878787,0.0695121951219512,,0.0722222222222221,0.0722222222222221,0.8548324304421857,0.5316610286732238,2.0122792321330962e-17,0.0142857142857142,0.0409090909090908,0.0384615384615384,-0.0333333333333333,0.0185714285714285,-0.0151515151515151,0.0121951219512194,,0.0055555555555555,0.0249999999999999,0.20346329821939516,0.1288352771889357
Christian,0.093509330307799,0.0428178223748115,0.0346666666666666,0.0553333333333332,0.5269999999999999,0.7713333333333334,0.0083333333333333,0.0964285714285713,0.1409090909090908,0.1794871794871794,-0.0924242424242423,0.0799999999999999,0.0196969696969697,0.0414634146341463,,0.0749999999999999,0.0916666666666666,0.8254094685801994,0.4133069437337729,0.0097222222222222,0.0142857142857142,0.0227272727272726,0.0435897435897435,-0.0136363636363636,0.0142857142857142,-0.0075757575757575,0.023170731707317,,0.0222222222222221,0.0333333333333332,0.20454907558566016,0.0932904629246091
Hindu,0.0945198941703227,0.0422680753104064,-0.0286666666666666,0.0749999999999999,0.5613333333333334,0.7089999999999999,0.0041666666666666,0.1107142857142856,0.0848484848484848,0.0307692307692307,0.0848484848484848,0.0542857142857142,0.0075757575757575,0.0548780487804877,,0.0527777777777777,0.1333333333333333,0.6181977846002229,0.3867152495201275,0.0013888888888888,0.0285714285714285,0.0242424242424242,0.0217948717948717,-0.0196969696969696,0.0085714285714285,-0.0136363636363636,0.0109756097560975,,0.0055555555555555,0.0166666666666666,0.15110020738069452,0.1051662700443187
Jewish,0.0775959826653009,0.0294815470019331,-0.036,0.0703333333333332,0.6003333333333334,0.7146666666666667,0.0222222222222221,0.0892857142857142,0.106060606060606,0.0525641025641025,-0.0712121212121211,0.1514285714285713,-0.006060606060606,0.0451219512195121,,0.0722222222222221,0.0972222222222222,0.7134003394978996,0.34716644466644464,0.0097222222222221,0.0249999999999999,0.0242424242424241,0.0205128205128204,-0.0166666666666666,0.0371428571428571,-0.0151515151515151,0.0060975609756097,,0.0166666666666666,0.0277777777777777,0.19898051135855932,0.0751389261145357
Mormon,0.1022954777047478,0.045111469188345,-0.0433333333333333,0.0223333333333333,0.5613333333333334,0.7176666666666667,0.0027777777777777,0.0821428571428571,0.1409090909090908,0.082051282051282,-0.0848484848484848,0.0828571428571428,0.1954545454545454,0.0573170731707316,,0.0472222222222222,0.0722222222222221,0.8478026986563565,0.5006774729335706,0.0083333333333333,0.0142857142857142,0.0151515151515151,0.0064102564102564,-0.0166666666666666,0.0257142857142856,0.0015151515151514,0.0121951219512194,,0.0111111111111111,0.0277777777777777,0.1391609339170308,0.0789251872788452
Muslim,0.0815052285317208,0.0296259008519865,-0.0493333333333332,0.0396666666666666,0.5996666666666667,0.6839999999999999,0.0152777777777777,0.0857142857142856,0.0909090909090908,0.0282051282051281,-0.0818181818181817,0.0599999999999999,-0.003030303030303,0.1756097560975609,,0.0527777777777777,0.1416666666666666,0.7350089679967721,0.33239201178225564,0.0194444444444444,0.0,0.0181818181818181,0.023076923076923,-0.0333333333333332,0.0257142857142856,-0.0151515151515151,0.0487804878048779,,0.0222222222222221,0.0194444444444444,0.2253494743738638,0.135274122896074
Orthodox,0.0874374269717298,0.0455830626842432,0.0153333333333333,0.0789999999999999,0.5046666666666667,0.7576666666666667,-3.4694469519536144e-19,0.1035714285714285,0.1015151515151514,0.0538461538461537,-0.1212121212121211,0.0642857142857142,0.0257575757575757,0.0658536585365853,,0.0583333333333333,0.1333333333333333,0.7277084703913965,0.20689027097563686,-0.0041666666666666,0.0107142857142857,0.0257575757575757,0.023076923076923,-0.0287878787878787,0.0285714285714285,-0.0196969696969697,0.0097560975609756,,0.0249999999999999,0.0472222222222221,0.22275004805492551,0.0857410746435137
Protestant,0.0957314013659175,0.0468596927765231,0.012,0.1069999999999999,0.4986666666666666,0.7553333333333333,-0.0069444444444444,0.0535714285714285,0.0757575757575757,0.1076923076923076,-0.106060606060606,0.0528571428571428,0.0227272727272726,0.0182926829268292,,0.2333333333333333,0.0888888888888888,0.7661256832598289,0.45959983106324553,0.0055555555555555,-1.942890293094024e-17,0.0318181818181817,0.0423076923076922,-0.0242424242424241,0.0171428571428571,-0.0045454545454545,0.0121951219512194,,0.0527777777777777,0.0083333333333333,0.1989183986744955,0.14258763594129414
Sikh,0.1115607466401033,0.0394082959654406,-0.0753333333333333,0.0806666666666666,0.635,0.7036666666666667,0.0347222222222221,0.1214285714285714,0.0696969696969696,0.0384615384615384,-0.0803030303030302,0.0485714285714285,-0.0045454545454545,0.0841463414634145,,0.0555555555555555,0.3166666666666666,0.8540977789148512,0.3951094163289285,-0.0041666666666666,0.0,0.0212121212121211,0.0179487179487179,-0.0378787878787878,0.0228571428571428,-0.0181818181818181,0.0097560975609755,,0.0166666666666666,0.0472222222222221,0.19589024119511853,0.09697650587894471
