,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_d,Acc_d,TB_Atheist_std,TB_Buddhist_std,TB_Catholic_std,TB_Christian_std,TB_Hindu_std,TB_Jewish_std,TB_Mormon_std,TB_Muslim_std,TB_Protestant_std,TB_Sikh_std,TB_std,BAmt_Atheist_std,BAmt_Buddhist_std,BAmt_Catholic_std,BAmt_Christian_std,BAmt_Hindu_std,BAmt_Jewish_std,BAmt_Mormon_std,BAmt_Muslim_std,BAmt_Protestant_std,BAmt_Sikh_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,-0.0013888888888888592,0.20357142857142846,0.05303030303030298,0.019230769230769197,-0.024242424242424225,0.06285714285714282,-0.08484848484848481,0.02195121951219508,0.10833333333333331,-0.033333333333333305,0.06640717480351617,0.3291666666666667,0.38928571428571423,0.3742424242424243,0.2012820512820513,0.40606060606060596,0.38285714285714284,0.3454545454545454,0.27317073170731704,0.33611111111111114,0.2777777777777778,0.3315408771445356,0.0,0.0853694769999647,0.07932723242893605,0.4726666666666667,0.02926570486903533,0.014285714285714275,0.019165319152535623,0.02923526731023426,0.021640692207705575,0.027627256579733875,0.04728632283129466,0.03330853727743329,0.036641405439647,0.03239417719358497,0.010735903081214379,0.04294340231594529,0.0642857142857143,0.03760507165451774,0.026148818018424558,0.036989562471920284,0.046202747510846374,0.034082490543036345,0.02481340237728759,0.02693155476342405,0.07349309197401642,0.022345048855511897,0.0,0.009254751858573666,0.02249803844235596,0.007039570693980929
Atheist,0.05277777777777777,-0.07857142857142854,0.00606060606060606,0.04871794871794868,0.0333333333333333,0.008571428571428563,-0.06515151515151513,-0.018292682926829222,-0.058333333333333334,-0.041666666666666664,0.05704230728620964,0.38055555555555554,0.34285714285714286,0.34848484848484845,0.27435897435897433,0.32727272727272727,0.34571428571428575,0.37727272727272726,0.27926829268292686,0.32499999999999996,0.3138888888888889,0.33146734430880764,0.09008796014283808,0.0,0.0006991104592949597,0.24100000000000002,0.059996141851264354,0.06925256939166181,0.06272800468025588,0.03772804863990296,0.046847347981031184,0.02906712849910825,0.03790907879756606,0.02807527910541787,0.06358623967921996,0.06804138174397716,0.011537678659948826,0.05980291706003053,0.06998542122237653,0.06690727929036247,0.05894648170550077,0.05169309730070296,0.07621130667628082,0.03435086075380193,0.029217435489538885,0.09444444444444446,0.08031573497111645,0.04922968097084097,0.011936655486414245,0.0,0.04114640827260245,0.04176122603564221
Buddhist,0.058333333333333307,0.05714285714285712,0.010606060606060619,0.03846153846153842,-0.02424242424242422,-2.0122792321330962e-17,-0.06818181818181816,-0.02317073170731706,-0.05277777777777777,-0.03611111111111106,0.04880258224160654,0.4083333333333333,0.45,0.3136363636363636,0.20512820512820512,0.3363636363636363,0.33428571428571424,0.3378787878787878,0.26219512195121947,0.30833333333333335,0.31388888888888894,0.32700433847994825,0.0724250322847883,0.0,0.0011647147692522592,0.29933333333333334,0.05600512542682208,0.05345224838248485,0.06649426744694448,0.02293403053845938,0.037543974828375314,0.012777531299998755,0.07902063521457754,0.035638144380981576,0.08669159185737348,0.02256677334621099,0.014032438471319719,0.049183142248960476,0.0832993127835043,0.03604659773748583,0.02293403053845935,0.04853217387286961,0.060676458804558006,0.05326786615529376,0.03875670385870904,0.04249182927993987,0.08268264481187344,0.03402671524052892,0.012931063546850769,0.0,0.09578699148631556,0.08689457213581679
Catholic,0.00694444444444442,-0.05357142857142856,0.022727272727272717,0.06538461538461535,0.0015151515151515006,-0.0057142857142857,-0.034848484848484816,0.013414634146341458,-0.061111111111111095,-0.06944444444444439,0.05296999815902246,0.35138888888888886,0.33928571428571425,0.4015151515151515,0.3576923076923077,0.3863636363636364,0.3771428571428571,0.41969696969696973,0.34268292682926826,0.38333333333333336,0.31388888888888883,0.36729906746370167,0.08605255855255846,0.0,0.006705544523447798,0.28900000000000003,0.04831257536368355,0.09715336077668167,0.027524094128158986,0.02849501380883701,0.04895604370122274,0.019897697538834413,0.05016044047650558,0.03281371718798461,0.07222222222222222,0.04969039949999537,0.008975101012333054,0.04742603077489965,0.04791574237499549,0.03742148192493477,0.02849501380883701,0.02032789070454355,0.0402542937245868,0.039972442297796715,0.032813717187984655,0.04267303193260338,0.05931710140017397,0.014107287048680143,0.014898060882480274,0.0,0.053753861656253565,0.036675756449064706
Christian,0.02222222222222222,-0.04285714285714286,-0.03636363636363632,0.09999999999999995,0.01818181818181818,-0.0057142857142857394,-0.04242424242424242,-0.0439024390243902,-0.03888888888888887,0.00833333333333328,0.04648692499912,0.3694444444444444,0.4,0.4333333333333334,0.34358974358974353,0.3606060606060606,0.40285714285714286,0.4424242424242425,0.30975609756097555,0.40555555555555556,0.4027777777777778,0.38703443981492763,0.09074562226391485,0.0,0.03836252538314113,0.2793333333333333,0.02926570486903537,0.07873359887517355,0.029301635766384435,0.04377787456144583,0.023764222941451682,0.019378085666072156,0.03729858674270047,0.026550659825703937,0.038689967436622515,0.047790695928014555,0.0076017950808336164,0.03838965266968126,0.04008918628686366,0.07951298038425411,0.027075271899926767,0.07307367001083329,0.054510811509539785,0.07554515674132067,0.031187102079376652,0.07728015412913086,0.06454972243679029,0.04939821147638064,0.007572126099380997,0.0,0.03248468506554279,0.0367665306736681
Hindu,0.01111111111111108,-0.05714285714285714,-0.037878787878787824,0.03589743589743586,-0.0030303030303030407,-0.04285714285714283,-0.05151515151515148,0.020731707317073158,0.011111111111111141,-1.0408340855860842e-18,0.04598120172510408,0.39722222222222225,0.37142857142857144,0.36818181818181817,0.3641025641025641,0.4666666666666667,0.3771428571428571,0.3878787878787879,0.35975609756097565,0.3277777777777778,0.3722222222222223,0.37923795851844627,0.0823961925608266,0.0,0.03971813751680146,0.2886666666666666,0.035572912430182485,0.07937896703890307,0.024896479886598467,0.021299035545943777,0.03910147848655735,0.05872801368884131,0.05057066444932917,0.025754526929198593,0.04427049291808113,0.050460839234958164,0.012297500001391685,0.09686442096757052,0.06719602757938135,0.02066391166209978,0.03202563076101742,0.05918795449886247,0.07658528659245835,0.06417520783196173,0.04099447881456491,0.031180478223116176,0.06173919658581352,0.029092593065849368,0.014417449516536852,0.0,0.04756100830482558,0.04224794538067962
Jewish,0.022222222222222202,-0.06785714285714287,-0.027272727272727226,0.08076923076923073,-0.006060606060606039,-0.0057142857142857394,-0.03181818181818176,0.006097560975609721,-0.04444444444444442,-0.07499999999999993,0.05003555116969741,0.4583333333333333,0.475,0.4454545454545455,0.367948717948718,0.4212121212121212,0.48571428571428565,0.4318181818181818,0.35731707317073164,0.33333333333333337,0.4527777777777778,0.4228909369763027,0.08729630735118529,0.0,-0.0019866255849144403,0.27599999999999997,0.05562495665139106,0.09741558354989893,0.0195213617071593,0.018400897556932437,0.04187962109419771,0.0236470647960669,0.019986221148898344,0.036381546073600696,0.06655082528172743,0.06370747189544287,0.01699407975184816,0.05590169943749473,0.06925256939166187,0.061991734986299334,0.03816122068240309,0.0473348465206464,0.04309458036856674,0.03803000120609432,0.036707114495835164,0.04212708580028638,0.06949997779553778,0.0361324021826296,0.023990184811707935,0.0,0.019463692499003673,0.05052612085732376
Mormon,0.016666666666666663,-0.049999999999999954,-0.01666666666666668,0.07948717948717944,0.009090909090909122,-0.015714285714285715,0.02878787878787874,-0.04512195121951214,-0.06944444444444439,-0.050000000000000024,0.04761531422507022,0.4,0.3499999999999999,0.3924242424242424,0.3384615384615385,0.3515151515151515,0.38428571428571423,0.4318181818181818,0.347560975609756,0.3861111111111111,0.35555555555555557,0.3737732470781251,0.09639709951295308,0.0,-0.0009046214454288603,0.2923333333333333,0.03362144010252831,0.03072259023943793,0.03566243119981759,0.016518075290673246,0.033675925410443695,0.04768091219508178,0.042152811343162275,0.019127301391900157,0.03621779114001474,0.0793492047615872,0.007622312301002699,0.04271821249786028,0.06039833759031344,0.02850740563973752,0.04317296984739165,0.08362208925179773,0.046817056023354106,0.049096520442483776,0.03798149146926203,0.038689967436622556,0.06431020501550126,0.030444808749566784,0.018246464766894375,0.0,0.028630843954420695,0.04076490865656118
Muslim,0.005555555555555561,-0.06071428571428568,-0.004545454545454538,0.0884615384615384,0.01363636363636366,-0.01571428571428572,-0.05606060606060602,-0.0317073170731707,-0.08055555555555552,-0.022222222222222244,0.05540288843947372,0.35277777777777775,0.39642857142857146,0.39242424242424245,0.34487179487179487,0.38636363636363635,0.36714285714285716,0.4045454545454545,0.3439024390243902,0.36388888888888893,0.4,0.3752345662467614,0.08898626102894386,0.0,0.015162685428437577,0.24666666666666665,0.028934259244443934,0.05125964319431184,0.07416508030618434,0.03176797870093301,0.028101874228774835,0.050789682384660466,0.029768004097558354,0.028181024410466677,0.05371966557170481,0.08722399148948651,0.009944108632624665,0.0479920903976972,0.0708908330045686,0.05343997602590426,0.02544799133497335,0.03951031760728878,0.05337583340648401,0.033402132856134255,0.05095751808725898,0.06538112386633234,0.032155102507750624,0.017153558207438007,0.0074437941136588645,0.0,0.03321593721483879,0.018648800974265835
Protestant,0.024999999999999984,0.02857142857142856,-0.019696969696969702,0.07307692307692301,-0.02878787878787876,-0.02999999999999998,-0.0424242424242424,-0.01585365853658536,-0.047222222222222165,-0.08333333333333333,0.05617050158513566,0.3611111111111111,0.3928571428571428,0.36818181818181817,0.2858974358974359,0.3712121212121212,0.41571428571428565,0.43636363636363634,0.33536585365853655,0.325,0.4,0.3691703404996088,0.08124638708175287,0.0,0.0026517180130222785,0.2703333333333333,0.022652092264305645,0.10139335404698847,0.030903148567228964,0.023148038570856143,0.017539146822409455,0.05982969026106261,0.037605071654517735,0.04887186563296064,0.018839805508681317,0.06631853547951841,0.0031628339300493976,0.04791163419627872,0.033881546358946885,0.049236596391733084,0.030500967316334143,0.039218724562256925,0.0353986048381825,0.06090833709770235,0.032949405088064154,0.03356401659331825,0.0591868770907292,0.01733203467704374,0.009489224703151344,0.0,0.03236847298074673,0.030901276492871447
